date,selina,sub_category,capacity,out_of_order,available_beds,sold_beds,occupancy_rate,room_revenue_usd,food_and_beverage_revenue,activities_revenue,co_working_revenue,total_revenue,trevpob,average_guest_review
2017-12-01,San Jose,Dorm,86,1,85,65,0.7647058823529411,1170.0,341.64,179.01,79.56,1770.2099999999998,27.233999999999998,8.755
2017-12-01,Medellin,Dorm,215,25,190,91,0.4789473684210526,1820.0,373.1,274.82,72.8,2540.7200000000003,27.92,8.787
2017-12-01,Jaco,Dorm,118,2,116,55,0.47413793103448276,880.0,289.5200000000001,100.32,23.76,1293.6,23.52,8.78
2017-12-01,Bocas del Toro,Dorm,154,2,152,108,0.7105263157894737,1728.0,618.624,390.528,164.16,2901.312,26.864,8.689
2017-12-01,Red Frog,Dorm,24,1,23,17,0.7391304347826086,255.0,91.545,44.88,20.655,412.08000000000004,24.240000000000002,8.754
2017-12-01,Puerto Viejo,Private,32,1,31,16,0.5161290322580645,571.2,191.92320000000004,63.97440000000001,24.5616,851.6592000000002,53.22870000000001,8.794
2017-12-01,Bocas del Toro,Private,44,1,43,32,0.7441860465116279,1008.0,360.86400000000003,217.72799999999998,108.86399999999999,1695.4560000000001,52.983000000000004,8.699
2017-12-01,Santa Teresa North,Dorm,140,1,139,97,0.697841726618705,1455.0,446.685,226.98,91.665,2220.33,22.89,8.743
2017-12-01,Bocas del Toro,Private Shared,32,1,31,24,0.7741935483870968,691.1999999999998,245.376,166.5792,82.2528,1185.4079999999997,49.39199999999999,8.71
2017-12-01,Manuel Antonio,Dorm,116,3,113,81,0.7168141592920354,1377.0,415.85400000000004,210.681,78.48899999999999,2082.024,25.703999999999997,8.741
2017-12-01,Manuel Antonio,Private Shared,18,1,17,13,0.7647058823529411,421.2,125.0964,60.65279999999999,25.6932,632.6424,48.6648,8.743
2017-12-01,Tamarindo,Private Shared,34,1,33,19,0.5757575757575758,581.4,190.6992,70.93079999999998,22.6746,865.7046,45.5634,8.772
2017-12-01,Jaco,Private,42,2,40,19,0.475,598.5,202.8915,58.0545,15.561,875.007,46.053,8.771
2017-12-01,Antigua,Dorm,92,11,81,38,0.4691358024691358,646.0,3.23,101.42200000000001,9.69,760.3420000000001,20.009000000000004,9.008
2017-12-01,Medellin,Private,88,9,79,38,0.4810126582278481,1444.0,294.576,215.156,60.648,2014.3799999999999,53.01,8.794
2017-12-01,Puerto Viejo,Private Shared,40,1,39,21,0.5384615384615384,642.5999999999998,210.7728,66.18779999999998,14.779799999999998,934.3403999999998,44.49239999999999,8.771
2017-12-01,Manuel Antonio,Private,60,1,59,43,0.7288135593220338,1535.1,489.6969,211.84380000000004,105.92190000000002,2342.5625999999997,54.478199999999994,8.75
2017-12-01,Venao,Dorm,51,1,50,38,0.76,608.0,206.72000000000003,143.488,56.544,1014.7520000000001,26.704,8.711
2017-12-01,San Jose,Private,40,1,39,31,0.7948717948717948,1106.7,332.01,163.7916,63.08190000000001,1665.5835,53.7285,8.736
2017-12-01,La Fortuna,Dorm,100,6,94,35,0.3723404255319149,595.0,207.655,58.31,21.42,882.3849999999999,25.210999999999995,8.783
2017-12-01,Tamarindo,Dorm,144,3,141,88,0.624113475177305,1584.0,497.376,212.25599999999997,45.93600000000001,2339.568,26.586000000000002,8.774
2017-12-01,La Fortuna,Private,20,1,19,8,0.42105263157894735,285.6,101.9592,31.416000000000004,8.568,427.5432,53.4429,8.785
2017-12-01,San Jose,Private Shared,14,1,13,11,0.8461538461538461,316.7999999999999,92.1888,46.88639999999999,17.1072,472.98239999999987,42.99839999999999,8.763
2017-12-01,Puerto Viejo,Dorm,66,2,64,34,0.53125,544.0,174.08,53.31200000000001,27.200000000000006,798.5920000000001,23.488000000000003,8.774
2017-12-01,Red Frog,Private,34,1,33,25,0.7575757575757576,787.5,268.5375,150.4125,57.4875,1263.9374999999998,50.55749999999999,8.755
2017-12-01,Medellin,Private Shared,24,3,21,11,0.5238095238095238,334.4000000000001,62.8672,56.848000000000006,14.3792,468.49440000000016,42.59040000000002,8.78
2017-12-01,Venao,Private Shared,34,1,33,25,0.7575757575757576,674.9999999999999,222.75,155.92499999999995,76.27499999999998,1129.9499999999998,45.19799999999999,8.689
2017-12-01,Pedasi,Dorm,8,1,7,6,0.8571428571428571,96.0,33.024,22.656,9.792,161.472,26.912000000000003,8.719
2017-12-01,La Fortuna,Private Shared,32,2,30,13,0.43333333333333335,350.99999999999994,116.53199999999998,29.484,9.477,506.4929999999999,38.96099999999999,8.787
2017-12-01,Antigua,Private,34,5,29,12,0.41379310344827586,448.80000000000007,4.488,71.808,6.283200000000001,531.3792000000001,44.281600000000005,9.01
2017-12-01,Santa Teresa North,Private Shared,16,1,15,11,0.7333333333333333,316.7999999999999,99.4752,43.0848,18.691199999999995,478.0511999999999,43.45919999999999,8.745
2017-12-01,Santa Teresa North,Private,22,1,21,15,0.7142857142857143,535.5,162.2565,83.538,28.917,810.2115,54.0141,8.744
2017-12-01,Red Frog,Private Shared,14,1,13,10,0.7692307692307693,251.99999999999997,88.95599999999996,46.61999999999999,17.891999999999996,405.4679999999999,40.54679999999999,8.738999999999999
2017-12-01,Tamarindo,Private,24,1,23,15,0.6521739130434783,535.5,176.715,59.976000000000006,30.5235,802.7145,53.514300000000006,8.779
2017-12-01,Venao,Private,12,1,11,9,0.8181818181818182,283.5,96.1065,65.205,29.2005,474.01199999999994,52.66799999999999,8.707
2017-12-02,Bocas del Toro,Dorm,154,1,153,110,0.7189542483660131,1760.0,607.1999999999998,396.0,211.2,2974.3999999999996,27.039999999999996,8.7
2017-12-02,Antigua,Private,34,5,29,14,0.4827586206896552,585.2,3.5112000000000005,76.07600000000002,16.3856,681.1728,48.6552,8.992
2017-12-02,Medellin,Dorm,215,20,195,89,0.4564102564102564,1602.0,323.6040000000001,264.33,80.10000000000002,2270.034,25.506,8.798
